,,,,,,,BUS Connected Write Enable Flags,,,,,,,,,,,,RAM Connected WE Flags,,Status and Conditional Jump Related,,,,,,
OP,opcode,Comment,W-Selector (4 bits),ALU Op (4 bits),PC INC,IR Clr,ACC WE,B WE,C WE,TMP WE,MAR WE,PC WE,MDR-TM WE,IR WE SEL,OUT 3 WE,OUT 4 WE,PC LOW WE,PC HIGH WE,MDR-FM WE,RAM WE,UPDATE STATUS FLAGS,CHK_M_ABORT_IF_NOT_M,CHZ_Z_ABORT_IF_NOT_Z,CHZ_NOT_Z_ABORT_IF_Z,WAIT,SP INC,SP DEC
LDA address,3A,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
LDA address ,3A,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
LDA address,3A,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
LDA address,3A,OperandHigh <- MDR-FM,0100,0000,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LDA address,3A,MAR <- OperandFull,0010,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
LDA Address,3A,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
LDA Address,3A,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
LDA address,3A,ACC <- MDR-FM,0100,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
LDA address,3A,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV A,B",78,A <- B,0110,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV A,B",78,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV A,C",79,A <- C,0111,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV A,C",79,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV B,A",47,B <- A,0101,0000,0,0,0,1,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV B,A",47,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV B,C",41,B <- C,0111,0000,0,0,0,1,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV B,C",41,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV C,A",4F,C <- A,0101,0000,0,0,0,0,1,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV C,A",4F,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV C,B",48,C <- B,0110,0000,0,0,0,0,1,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV C,B",48,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI A, byte",3E,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI A, byte",3E,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
"MVI A, byte",3E,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
"MVI A, byte",3E,ACC <- MDR-FM,0100,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI A, byte",3E,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI B, byte",06,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI B, byte",06,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
"MVI B, byte",06,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
"MVI B, byte",06,B <- MDR-FM,0100,0000,0,0,0,1,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI B, byte",06,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI C, byte",0E,MAR <- PC,0001,0000,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI C, byte",0E,INC PC,0000,0000,1,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
"MVI C, byte",0E,MDR-FM WE,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,1,0,0,0,0,0,0,0,0
"MVI C, byte",0E,C <- MDR-FM,0100,0000,0,0,0,0,1,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI C, byte",0E,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
NOP,00,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ORA B,B0,TMP <- B,0110,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ORA B,B0,OP=OR,0000,0110,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
ORA B,B0,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ORA B,B0,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ORA C,B1,TMP <- C,0111,0000,0,0,0,0,0,1,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ORA C,B1,OP=OR,0000,0110,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,1,0,0,0,0,0,0
ORA C,B1,ACC <- ALU,0011,0000,0,0,1,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
ORA C,B1,NOP,0000,0000,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0
